Unnamed: 0,Empresa,Retorno anual,Nombre,Sector,Industria
227,HSIC,0.1554501014651219,Henry Schein,Health Care,Health Care Distributors
228,HST,0.1303726458780316,Host Hotels & Resorts,Real Estate,Hotel & Resort REITs
229,HSY,0.1446713393822956,Hershey's,Consumer Staples,Packaged Foods & Meats
230,HUM,0.2438397665691005,Humana,Health Care,Managed Health Care
231,HWM,0.2456262227568431,Howmet Aerospace,Industrials,Aerospace & Defense
232,IBM,0.0777408506919115,IBM,Information Technology,IT Consulting & Other Services
233,ICE,0.2627748563875178,Intercontinental Exchange,Financials,Financial Exchanges & Data
234,IDXX,0.2646889711956244,Idexx Laboratories,Health Care,Health Care Equipment
235,IEX,0.1973552104824134,IDEX Corporation,Industrials,Industrial Machinery & Supplies & Components
236,IFF,0.0908879664960464,International Flavors & Fragrances,Materials,Specialty Chemicals
237,ILMN,0.3150506835295528,Illumina,Health Care,Life Sciences Tools & Services
238,INCY,0.3124380495826901,Incyte,Health Care,Biotechnology
239,INTC,0.0982160764411654,Intel,Information Technology,Semiconductors
240,INTU,0.2727901030605033,Intuit,Information Technology,Application Software
241,INVH,0.1294386028477183,Invitation Homes,Real Estate,Residential REITs
242,IP,0.0964745297240774,International Paper,Materials,Paper & Plastic Packaging Products & Materials
243,IPG,0.0976286416670597,Interpublic Group of Companies (The),Communication Services,Advertising
244,IQV,0.2109402285039434,IQVIA,Health Care,Life Sciences Tools & Services
245,IR,0.2602578145782512,Ingersoll Rand,Industrials,Industrial Machinery & Supplies & Components
246,IRM,0.1635056928282008,Iron Mountain,Real Estate,Other Specialized REITs
247,ISRG,0.3987490595188612,Intuitive Surgical,Health Care,Health Care Equipment
248,IT,0.2088529665258565,Gartner,Information Technology,IT Consulting & Other Services
249,ITW,0.1505107630672049,Illinois Tool Works,Industrials,Industrial Machinery & Supplies & Components
250,IVZ,0.1371536663521786,Invesco,Financials,Asset Management & Custody Banks
251,J,0.1764129105291971,Jacobs Solutions,Industrials,Construction & Engineering
252,JBHT,0.2415974649980938,J.B. Hunt,Industrials,Cargo Ground Transportation
253,JCI,0.1043641526749166,Johnson Controls,Industrials,Building Products
254,JKHY,0.1828394692563619,Jack Henry & Associates,Financials,Transaction & Payment Processing Services
255,JNJ,0.1036430823508238,Johnson & Johnson,Health Care,Pharmaceuticals
256,JNPR,0.2000970727634181,Juniper Networks,Information Technology,Communications Equipment
257,JPM,0.1519955125219194,JPMorgan Chase,Financials,Diversified Banks
258,K,0.0857372601531933,Kellogg's,Consumer Staples,Packaged Foods & Meats
259,KDP,0.2194896933520844,Keurig Dr Pepper,Consumer Staples,Soft Drinks & Non-alcoholic Beverages
260,KEY,0.1007597533757915,KeyCorp,Financials,Regional Banks
261,KEYS,0.2846203840563448,Keysight,Information Technology,Electronic Equipment & Instruments
262,KHC,-0.000227120677022,Kraft Heinz,Consumer Staples,Packaged Foods & Meats
263,KIM,0.1448721369073169,Kimco Realty,Real Estate,Retail REITs
264,KLAC,0.2855241531441874,KLA Corporation,Information Technology,Semiconductor Materials & Equipment
265,KMB,0.0983623867711207,Kimberly-Clark,Consumer Staples,Household Products
266,KMI,0.0424667147316324,Kinder Morgan,Energy,Oil & Gas Storage & Transportation
267,KMX,0.2755890116848389,CarMax,Consumer Discretionary,Automotive Retail
268,KO,0.0773213027195274,Coca-Cola Company (The),Consumer Staples,Soft Drinks & Non-alcoholic Beverages
269,KR,0.1133372658171665,Kroger,Consumer Staples,Food Retail
270,L,0.1057129789928379,Loews Corporation,Financials,Multi-line Insurance
271,LDOS,0.1289679639274155,Leidos,Industrials,Diversified Support Services
272,LEN,0.239390198803536,Lennar,Consumer Discretionary,Homebuilding
273,LH,0.2530197065981836,LabCorp,Health Care,Health Care Services
274,LHX,0.1937633531703675,L3Harris,Industrials,Aerospace & Defense
275,LIN,0.1965907247886393,Linde plc,Materials,Industrial Gases
276,LKQ,0.2674941514154023,LKQ Corporation,Consumer Discretionary,Distributors
277,LLY,0.131147510097868,Eli Lilly and Company,Health Care,Pharmaceuticals
278,LMT,0.1761206095378891,Lockheed Martin,Industrials,Aerospace & Defense
279,LNC,0.1470028772544152,Lincoln Financial,Financials,Multi-line Insurance
280,LNT,0.1258041634284976,Alliant Energy,Utilities,Electric Utilities
281,LOW,0.1971269308141192,Lowe's,Consumer Discretionary,Home Improvement Retail
282,LRCX,0.3775109734954456,Lam Research,Information Technology,Semiconductor Materials & Equipment
283,LUV,0.1212108452394411,Southwest Airlines,Industrials,Passenger Airlines
284,LVS,0.232759549324437,Las Vegas Sands,Consumer Discretionary,Casinos & Gaming
285,LW,0.2905823334212352,Lamb Weston,Consumer Staples,Packaged Foods & Meats
286,LYB,0.2563357140422149,LyondellBasell,Materials,Specialty Chemicals
287,LYV,0.2480383191951483,Live Nation Entertainment,Communication Services,Movies & Entertainment
288,MA,0.3780075733217416,Mastercard,Financials,Transaction & Payment Processing Services
289,MAA,0.189230214115502,Mid-America Apartment Communities,Real Estate,Residential REITs
290,MAR,0.1846262129777427,Marriott International,Consumer Discretionary,"Hotels, Resorts & Cruise Lines"
291,MAS,0.1268888196575446,Masco,Industrials,Building Products
